fold;decision_tree;random_forest;naive_bayes;decision_tree;random_forest;naive_bayes;decision_tree;random_forest;naive_bayes
Fold-21;0.8823529411764706;0.8611111111111112;0.6346153846153846;0.6666666666666666;0.5833333333333334;0.6346153846153846;0.6833333333333333;0.5622119815668203;0.6346153846153846
Fold-22;0.7023809523809523;0.9333333333333333;0.6346153846153846;0.717948717948718;0.8333333333333333;0.6346153846153846;0.7076923076923076;0.8642857142857143;0.6346153846153846
Fold-23;0.5568181818181819;0.6029411764705883;0.4583333333333333;0.5641025641025641;0.5448717948717949;0.46794871794871795;0.5210084033613446;0.5250000000000001;0.4571428571428571
Fold-24;0.90625;0.8823529411764706;0.8285714285714285;0.75;0.6666666666666666;0.7948717948717949;0.7816091954022988;0.6833333333333333;0.8080808080808081
Fold-25;0.9089743589743591;0.8493303571428572;0.7341269841269842;0.9089743589743591;0.9012820512820513;0.8025641025641026;0.9089743589743591;0.8729874776386404;0.7622767857142858
Fold-26;0.6636904761904762;0.9779411764705883;0.5672131147540984;0.7115384615384616;0.75;0.6051282051282051;0.6830357142857143;0.8220551378446115;0.5773809523809524
Fold-27;0.7700892857142857;0.7700892857142857;0.6836065573770491;0.8102564102564103;0.8102564102564103;0.7871794871794872;0.7883124627310674;0.7883124627310674;0.7182539682539683
Fold-28;0.8848484848484849;0.45774647887323944;0.9089743589743591;0.8256410256410256;0.5;0.9089743589743591;0.8521859819569744;0.4779411764705882;0.9089743589743591
Fold-29;0.9710144927536232;0.9710144927536232;0.5243589743589744;0.6666666666666666;0.6666666666666666;0.573076923076923;0.7350746268656716;0.7350746268656716;0.4755681818181818
Fold-30;0.7531055900621118;0.7627659574468084;0.9540816326530612;0.6831460674157304;0.6387640449438202;0.55;0.7104322391940201;0.6754098360655738;0.5668449197860963
Fold-31;0.7219101123595506;0.7627659574468084;0.4484536082474227;0.7219101123595506;0.6387640449438202;0.4887640449438202;0.7219101123595506;0.6754098360655738;0.467741935483871
Fold-32;0.877652933832709;0.9587628865979381;0.7964912280701755;0.877652933832709;0.5555555555555556;0.6054931335830211;0.877652933832709;0.578494623655914;0.644927536231884
Fold-33;0.9944444444444445;0.9734042553191489;0.7222222222222222;0.9444444444444444;0.7222222222222222;0.6997503121098627;0.9677949392047323;0.7940311055065153;0.7101544528425895
Fold-34;0.7796901893287436;0.9262640449438202;0.526984126984127;0.9103535353535352;0.8832070707070707;0.5214646464646464;0.8273582506992118;0.9032901296111665;0.5231741573033708
Fold-35;0.78125;0.8607843137254902;0.7509803921568627;0.78125;0.7395833333333333;0.6666666666666667;0.78125;0.7824397824397824;0.6954156954156954
Fold-36;0.826530612244898;0.8866666666666667;0.6411764705882352;0.7916666666666667;0.8020833333333333;0.59375;0.8075601374570447;0.8367346938775511;0.6083916083916083
Fold-37;0.8780193236714976;0.9268617021276595;0.6839622641509434;0.9162234042553192;0.9268617021276595;0.5518617021276595;0.8956356736242885;0.9268617021276595;0.5599999999999999
Fold-38;0.8537234042553192;0.8537234042553192;0.5993589743589743;0.8537234042553192;0.8537234042553192;0.5412234042553192;0.8537234042553192;0.8537234042553192;0.5454545454545454
Fold-39;0.7610993657505285;0.9179331306990881;0.7083333333333333;0.8753799392097263;0.9179331306990881;0.682370820668693;0.7999999999999998;0.9179331306990881;0.6939271255060729
